[DOC-001, Doctor72, 9AM, 9PM, Ward31, Specialty42, OZfGuBqO, ugOZFNw6]
[DOC-046, Doctor85, 3AM, 6PM, Ward09, Specialty35, Z9Bovrol, UwGpIxGO]
[DOC-047, Doctor93, 8AM, 6PM, Ward75, Specialty67, ow5d76bl, qs8rcLmZ]
[DOC-048, Doctor47, 6AM, 6PM, Ward52, Specialty31, 0Bnbq8Vj, 8BJRbeXc]
[DOC-049, Doctor94, 4AM, 7PM, Ward76, Specialty17, SsaMhkrX, jZg0XplY]
[DOC-050, Doctor62, 6AM, 5PM, Ward24, Specialty93, uT5nQrUN, EscJFVIb]
[DOC-051, Doctor62, 0AM, 1PM, Ward06, Specialty16, AIyuBOB9, KEBFh23z]
[DOC-052, Doctor10, 0AM, 1PM, Ward24, Specialty08, blYAb3Xv, 9Hn36JFX]
[DOC-053, Doctor45, 0AM, 0PM, Ward63, Specialty22, lR97fWxF, 23o1csLI]
[DOC-054, Doctor04, 8AM, 0PM, Ward68, Specialty54, E36DYYDm, ZjpZaam4]
[DOC-055, Doctor17, 9AM, 3PM, Ward18, Specialty54, h16KYNx5, WMydOskd]
[DOC-056, Doctor65, 4AM, 1PM, Ward53, Specialty73, 8FTaikch, sCP1WzdM]
[DOC-057, Doctor18, 8AM, 0PM, Ward58, Specialty48, 8us5pXvG, eOHwh4my]
[DOC-058, Doctor44, 2AM, 3PM, Ward44, Specialty24, VyamqFbs, UXLdMJH8]
[DOC-059, Doctor93, 5AM, 7PM, Ward32, Specialty01, DRrMMfJn, YdvfecwY]
[DOC-060, Doctor79, 3AM, 7PM, Ward28, Specialty53, qTDRESvF, kpLpRZAe]
